,H3K4me0,H3K4me1,H3K4me2,H3K4ac1,H3K9me0K14ac0,H3K9me1K14ac0,H3K9me2K14ac0,H3K9me3K14ac0,H3K9ac1K14ac0,H3K9me0K14ac1,H3K9me1K14ac1,H3K9me2K14ac1,H3K9me3K14ac1,H3K9ac1K14ac1,H3K18ac0K23ac0,H3K18ac1K23ac0,H3K18ac0K23ac1,H3K18ac1K23ac1,H3K18ac0K23ub1,H3K27me0K36me0,H3K27me0K36me1,H3K27me0K36me2,H3K27me0K36me3,H3K27me1K36me0,H3K27me1K36me1,H3K27me1K36me2,H3K27me1K36me3,H3K27me2K36me0,H3K27me2K36me1,H3K27me2K36me2,H3K27me3K36me0,H3K27me3K36me1,H3K27ac1K36me0,H3K27ac1K36me1,H3K27ac1K36me2,H3K27ac1K36me3,H3.3K27me0K36me0,H3K56me0,H3K56me1,H3K79me0,H3K79me1,H3K79me2
Pipecolic acid,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,1,,,
Pyroglutamic acid,1,1,,,1,,,1,1,-1,-1,,,,1,,,,,,,-1,,,,1,1,,1,1,,,,,,,,,,,,1
1-methylnicotinamide,,1,1,,1,,,1,1,-1,-1,-1,-1,,,,-1,,,,,,,,,,1,,,,,,,,1,,1,,,,1,1
Butyrobetaine,1,,,,,,,,,,,,,,,1,,,-1,-1,-1,,-1,-1,,,,,,,,,,,,,-1,,,,,
Putrescine,,,,,,,,-1,,,1,1,,,,,,,,,,,,,,,,,,-1,,-1,1,,,,,,-1,,,-1
Methionine sulfoxide,,1,,,,,,1,,-1,-1,,,,1,1,-1,,,,,,,,,1,1,,,1,-1,,,,,,,,,,,
Carnitine,1,1,,,,,,1,,,,,,,,1,-1,,,-1,-1,-1,-1,,,,,,1,1,,,,,,,,,,,,
Acetylcarnitine,1,,,,,,,,,,,,,,,1,,,-1,,,,,,,,,,,,,,,,,,,,,,,
Propionylcarnitine,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,
Malonylcarnitine,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,1,-1,,,,,,,,,,,
Butyrylcarnitine/Isobutyrylcarnitine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1
Valerylcarnitine/Isovalerylcarnitine/2-methylbutyroylcarnitine,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hexanoylcarnitine,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,-1,,,,,
Heptanoylcarnitine,,,,1,,,,,-1,,,,,,,,,,1,,,,,,,-1,,,,,,,,,,,,,,,,
Lauroylcarnitine,,,,,-1,-1,,,-1,,,,,,-1,,,,,-1,,,,-1,,,-1,,,,,,,,-1,,,,,,-1,
Myristoylcarnitine,,,,,-1,-1,,,,,,,,,,,,,,-1,,,-1,-1,,,,,,,,,,,-1,-1,,,,,,
Palmitoylcarnitine,,,,,-1,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,-1,,-1,,,,,,,
Stearoylcarnitine,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,-1,,,,,,,
Oleylcarnitine,,1,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arachidonyl carnitine,,-1,,,,-1,,-1,-1,,,,,,,,,,1,,,1,,,,-1,-1,,-1,-1,,,,,,,,,,,-1,
Sarcosine,,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,
Beta-alanine,,-1,,,,,,,1,,,,,1,,,,,-1,,,,,,,,,,,,,,,,,,-1,,,,,
Anserine,,,,,,,1,1,,-1,-1,,,,1,,-1,,,,,-1,,,,,1,1,,,,,,,,,1,,,,,
C14:0 LPC,,,,,-1,,,-1,-1,,,1,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,
C16:1 LPC,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C16:0 LPC,,,,,,,,,,,,,,,,,,,,,,,,,-1,,1,,,,1,1,,,,,,,,,,
C18:2 LPC,,,,,,,,,-1,,,,,,,,,,1,1,1,1,,,,,,,,,,-1,1,,,,1,,,,,-1
C18:1 LPC,1,1,,,,1,,1,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,
C18:0 LPC,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,
C20:4 LPC,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,,,,,
C20:3 LPC,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,1,,,,,,,,,,,
