,H3K4me0,H3K4me1,H3K4me2,H3K4ac1,H3K9me0K14ac0,H3K9me1K14ac0,H3K9me2K14ac0,H3K9me3K14ac0,H3K9ac1K14ac0,H3K9me0K14ac1,H3K9me1K14ac1,H3K9me2K14ac1,H3K9me3K14ac1,H3K9ac1K14ac1,H3K18ac0K23ac0,H3K18ac1K23ac0,H3K18ac0K23ac1,H3K18ac1K23ac1,H3K18ac0K23ub1,H3K27me0K36me0,H3K27me0K36me1,H3K27me0K36me2,H3K27me0K36me3,H3K27me1K36me0,H3K27me1K36me1,H3K27me1K36me2,H3K27me1K36me3,H3K27me2K36me0,H3K27me2K36me1,H3K27me2K36me2,H3K27me3K36me0,H3K27me3K36me1,H3K27ac1K36me0,H3K27ac1K36me1,H3K27ac1K36me2,H3K27ac1K36me3,H3.3K27me0K36me0,H3K56me0,H3K56me1,H3K79me0,H3K79me1,H3K79me2
Hexoses (HILIC pos),,0.0005,,,,0.0139,0.0024,0.0,,0.001,0.0073,,,,0.0,,0.0207,,,,,0.0128,,,,,0.0018,,0.006,0.0018,,,,,,,0.0007,,,,0.0488,0.0038
Adenosine,,,,,,,,,,,0.0072,0.0009,0.0305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0218
Thymidine,,,,0.0031,,0.0294,0.0016,0.0125,,0.0112,0.0104,0.0375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0352
Xanthosine,,,,,0.0002,0.0006,,0.0,0.0198,,0.0068,0.0001,0.0059,,0.0008,,0.0048,,,,0.0096,0.0001,,,,,0.0369,0.0291,0.0369,,0.0449,0.0003,,0.0415,,,,,,,0.0178,0.0021
2-deoxyadenosine,,0.0439,,0.0077,,,,,0.0002,,,,,0.0207,,,0.0261,,0.0459,,,,,,,,,,,,,,0.0237,,,,,,,,,
2-deoxycytidine,,,,,,,,,0.0004,,,,,0.0027,,,,,,0.0059,,0.0327,,0.0052,,,,,,,0.0147,0.0,,,,,0.0242,,,,,
cAMP,,0.003,0.0151,,,,,0.0061,,,,,,,,,,,,,,,,,,,,,0.0085,0.0126,,,,,,,,,,,,
Cotinine,0.0485,0.0307,,,,,,,,,,,,,,,,,0.007,,,,,,,0.0157,,,,,,,,,,,0.0354,,,,,
Pipecolic acid,,,,,,,,,,,,,,,,,,,0.0111,,,0.0008,,,,,,,,,,,,,,,,,0.0199,,,
Pyroglutamic acid,0.0473,0.0151,,,0.0498,,,0.0021,0.0018,0.0429,0.0469,,,,0.0282,,,,,,,0.0018,,,,0.0144,0.0007,,0.0029,0.005,,,,,,,,,,,,0.02
