Reaction ID,Reaction Name,Metabolite,Metabolite ID,Metabolite Name,
EX_fru_e,D-Fructose exchange,fru_e,fru_e,D-Fructose,
EX_fuc13galacglcgal14acglcgalgluside_hs_e,III3Fuc-nLc6Cer exchange,fuc13galacglcgal14acglcgalgluside_hs_e,fuc13galacglcgal14acglcgalgluside_hs_e,III3Fuc-nLc6Cer,
EX_fuc14galacglcgalgluside_hs_e,Lea glycolipid exchange,fuc14galacglcgalgluside_hs_e,fuc14galacglcgalgluside_hs_e,Lea glycolipid,
EX_fuc__L_e,L-Fucose exchange,fuc__L_e,fuc__L_e,L-Fucose,
EX_fucacgalfucgalacglcgalgluside_hs_e,(Gal)2 (GalNAc)1 (Glc)1 (GlcNAc)1 (LFuc)2 (Cer)1 exchange,fucacgalfucgalacglcgalgluside_hs_e,fucacgalfucgalacglcgalgluside_hs_e,(Gal)2 (GalNAc)1 (Glc)1 (GlcNAc)1 (LFuc)2 (Cer)1,
EX_fucacngal14acglcgalgluside_hs_e,"IV3-a-NeuAc,III3-a-Fuc-nLc4Cer exchange",fucacngal14acglcgalgluside_hs_e,fucacngal14acglcgalgluside_hs_e,"IV3-a-NeuAc,III3-a-Fuc-nLc4Cer",
EX_fucacngalacglcgalgluside_hs_e,"IV3-a-Neu5Ac,III4-a-Fuc-Lc4Cer exchange",fucacngalacglcgalgluside_hs_e,fucacngalacglcgalgluside_hs_e,"IV3-a-Neu5Ac,III4-a-Fuc-Lc4Cer",
EX_fucfuc12gal14acglcgalgluside_hs_e,Ley glycolipid exchange,fucfuc12gal14acglcgalgluside_hs_e,fucfuc12gal14acglcgalgluside_hs_e,Ley glycolipid,
EX_fucfuc132galacglcgal14acglcgalgluside_hs_e,"V3Fuc,III3Fuc-nLc6Cer exchange",fucfuc132galacglcgal14acglcgalgluside_hs_e,fucfuc132galacglcgal14acglcgalgluside_hs_e,"V3Fuc,III3Fuc-nLc6Cer",
EX_fucfucfucgalacglc13galacglcgal14acglcgalgluside_hs_e,(Gal)4 (Glc)1 (GlcNAc)3 (LFuc)3 (Cer)1 exchange,fucfucfucgalacglc13galacglcgal14acglcgalgluside_hs_e,fucfucfucgalacglc13galacglcgal14acglcgalgluside_hs_e,(Gal)4 (Glc)1 (GlcNAc)3 (LFuc)3 (Cer)1,
EX_fucfucfucgalacglcgal14acglcgalgluside_hs_e,(Gal)3 (Glc)1 (GlcNAc)2 (LFuc)3 (Cer)1 exchange,fucfucfucgalacglcgal14acglcgalgluside_hs_e,fucfucfucgalacglcgal14acglcgalgluside_hs_e,(Gal)3 (Glc)1 (GlcNAc)2 (LFuc)3 (Cer)1,
EX_fucfucgalacglcgalgluside_hs_e,Leb glycolipid exchange,fucfucgalacglcgalgluside_hs_e,fucfucgalacglcgalgluside_hs_e,Leb glycolipid,
EX_fucgal14acglcgalgluside_hs_e,Lacto-N-fucopentaosyl III ceramide exchange,fucgal14acglcgalgluside_hs_e,fucgal14acglcgalgluside_hs_e,Lacto-N-fucopentaosyl III ceramide,
EX_fucgalfucgalacglcgalgluside_hs_e,(Gal)3 (Glc)1 (GlcNAc)1 (LFuc)2 (Cer)1 exchange,fucgalfucgalacglcgalgluside_hs_e,fucgalfucgalacglcgalgluside_hs_e,(Gal)3 (Glc)1 (GlcNAc)1 (LFuc)2 (Cer)1,
EX_fucgalgbside_hs_e,Fucosyl galactosylgloboside (homo sapiens) exchange,fucgalgbside_hs_e,fucgalgbside_hs_e,Fucosyl galactosylgloboside (homo sapiens),
EX_gal_e,D-Galactose exchange,gal_e,gal_e,D-Galactose,
EX_galacglcgalgbside_hs_e,Gal-GlcNAc-Gal globoside (homo sapiens) exchange,galacglcgalgbside_hs_e,galacglcgalgbside_hs_e,Gal-GlcNAc-Gal globoside (homo sapiens),
EX_galfuc12gal14acglcgalgluside_hs_e,(Gal)3 (Glc)1 (GlcNAc)1 (LFuc)1 (Cer)1 exchange,galfuc12gal14acglcgalgluside_hs_e,galfuc12gal14acglcgalgluside_hs_e,(Gal)3 (Glc)1 (GlcNAc)1 (LFuc)1 (Cer)1,
EX_galfucgalacglcgal14acglcgalgluside_hs_e,(Gal)4 (Glc)1 (GlcNAc)2 (LFuc)1 (Cer)1 exchange,galfucgalacglcgal14acglcgalgluside_hs_e,galfucgalacglcgal14acglcgalgluside_hs_e,(Gal)4 (Glc)1 (GlcNAc)2 (LFuc)1 (Cer)1,
EX_galgalfucfucgalacglcgalacglcgal14acglcgalgluside_hs_e,(Gal)6 (Glc)1 (GlcNAc)3 (LFuc)2 (Cer)1 exchange,galgalfucfucgalacglcgalacglcgal14acglcgalgluside_hs_e,galgalfucfucgalacglcgalacglcgal14acglcgalgluside_hs_e,(Gal)6 (Glc)1 (GlcNAc)3 (LFuc)2 (Cer)1,
EX_galgalgalthcrm_hs_e,Gal-Gal-Gal-Gal-Gal-Glc-Cer (homo sapiens) exchange,galgalgalthcrm_hs_e,galgalgalthcrm_hs_e,Gal-Gal-Gal-Gal-Gal-Glc-Cer (homo sapiens),
EX_gam_e,D-Glucosamine exchange,gam_e,gam_e,D-Glucosamine,
EX_gbside_hs_e,Globoside (homo sapiens) exchange,gbside_hs_e,gbside_hs_e,Globoside (homo sapiens),
EX_gchola_e,Glycocholate exchange,gchola_e,gchola_e,Glycocholate,
EX_gd1b2_hs_e,GD1beta (homo sapiens) exchange,gd1b2_hs_e,gd1b2_hs_e,GD1beta (homo sapiens),
EX_gd1c_hs_e,GD1c (homo sapiens) exchange,gd1c_hs_e,gd1c_hs_e,GD1c (homo sapiens),
EX_gdchola_e,Glycochenodeoxycholate exchange,gdchola_e,gdchola_e,Glycochenodeoxycholate,
EX_gdp_e,GDP exchange,gdp_e,gdp_e,GDP C10H12N5O11P2,
